,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
19231,19790,Mohit Mayur Jayaprakash,1993-09-14 00:00:00,IND,768.0,-15.0,27.0,34.0,22.0,10.0,7.0,0.0,0.0,0.0,0.0,22328.0,,574.0,39.0,91.0,2.0,1.0,
19234,19793,Jurgen Melzer/Philipp Petzschner,,,,,,,,,,,,,,,,,,,,,
19237,19796,Julian Knowle/Robert Lindstedt,,,,,,,,,,,,,,,,,,,,,
19239,19798,Somdev Devvarman/Sanam Singh,,,,,,,,,,,,,,,,,,,,,
19240,19799,Jan Hajek/Lukas Lacko,,,,,,,,,,,,,,,,,,,,,
19253,19812,Bruno Sant'Anna,1993-07-12 00:00:00,BRA,534.0,0.0,63.0,6.0,4.0,11.0,20.0,0.0,0.0,0.0,0.0,57211.0,,884.0,1.0,40.0,0.0,1.0,100134032.0
19260,19819,Thomaz Bellucci/Andre Sa,,,,,,,,,,,,,,,,,,,,,
19281,19840,Gian Francisco Pico Pico,1993-11-06 00:00:00,ECU,,,,,,,,,,,,,,,,,,,100147348.0
19282,19841,Benjamin Becker/Scott Lipsky,,,,,,,,,,,,,,,,,,,,,
19285,19844,Michael Kohlmann/Jarkko Nieminen,,,,,,,,,,,,,,,,,,,,,
19286,19845,Lukas Lacko/Michael Russell,,,,,,,,,,,,,,,,,,,,,
19287,19846,Marinko Matosevic/Bernard Tomic,,,,,,,,,,,,,,,,,,,,,
19298,19857,Sergio Martos Gornes,1994-10-19 00:00:00,ESP,,,,6.0,6.0,13.0,24.0,0.0,0.0,0.0,0.0,21380.0,,366.0,7.0,180.0,0.0,1.0,100134689.0
19299,19858,Jaume Martinez Vich,1993-10-21 00:00:00,ESP,,,,,,,,,,,,,,,,,,,100145123.0
19303,19862,Juan-Sebastian Cabal/Alejandro Gonzalez,,,,,,,,,,,,,,,,,,,,,
19311,19870,Bartosz Sawicki,1992-04-30 00:00:00,POL,,,,,,,,,,,,,,,,,,,
